date,color,quantity_sold
2024-01-16,indigo,8
2024-01-17,red,14
2024-01-17,blue,7
2024-01-17,green,7
2024-01-17,yellow,8
2024-01-17,black,16
2024-01-17,white,1
2024-01-17,purple,3
2024-01-17,orange,7
2024-01-17,pink,3
2024-01-17,gray,3
2024-01-17,brown,0
2024-01-17,cyan,5
2024-01-17,magenta,1
2024-01-17,navy,9
2024-01-17,teal,3
2024-01-17,maroon,4
2024-01-17,lime,0
2024-01-17,gold,11
2024-01-17,silver,10
2024-01-17,beige,3
2024-01-17,turquoise,6
2024-01-17,indigo,4
2024-01-18,red,10
2024-01-18,blue,3
2024-01-18,green,6
2024-01-18,yellow,5
2024-01-18,black,14
2024-01-18,white,1
2024-01-18,purple,2
2024-01-18,orange,0
2024-01-18,pink,4
2024-01-18,gray,9
2024-01-18,brown,2
2024-01-18,cyan,4
2024-01-18,magenta,9
2024-01-18,navy,3
2024-01-18,teal,11
2024-01-18,maroon,6
2024-01-18,lime,6
2024-01-18,gold,5
2024-01-18,silver,0
2024-01-18,beige,4
2024-01-18,turquoise,8
2024-01-18,indigo,10
2024-01-19,red,4
2024-01-19,blue,8
2024-01-19,green,4
2024-01-19,yellow,12
2024-01-19,black,5
2024-01-19,white,5
2024-01-19,purple,8
2024-01-19,orange,8
2024-01-19,pink,9
2024-01-19,gray,10
2024-01-19,brown,6
2024-01-19,cyan,0
2024-01-19,magenta,0
2024-01-19,navy,8
2024-01-19,teal,11
2024-01-19,maroon,8
2024-01-19,lime,2
2024-01-19,gold,11
2024-01-19,silver,6
2024-01-19,beige,5
2024-01-19,turquoise,1
2024-01-19,indigo,9
2024-01-20,red,14
2024-01-20,blue,3
2024-01-20,green,2
2024-01-20,yellow,4
2024-01-20,black,15
2024-01-20,white,10
2024-01-20,purple,6
2024-01-20,orange,2
2024-01-20,pink,9
2024-01-20,gray,4
2024-01-20,brown,11
2024-01-20,cyan,0
2024-01-20,magenta,8
2024-01-20,navy,6
2024-01-20,teal,9
2024-01-20,maroon,0
2024-01-20,lime,6
2024-01-20,gold,10
2024-01-20,silver,3
2024-01-20,beige,2
2024-01-20,turquoise,8
2024-01-20,indigo,6
2024-01-21,red,9
2024-01-21,blue,2
2024-01-21,green,9
2024-01-21,yellow,8
2024-01-21,black,13
2024-01-21,white,10
2024-01-21,purple,10
2024-01-21,orange,2
2024-01-21,pink,7
2024-01-21,gray,11
2024-01-21,brown,5
2024-01-21,cyan,8
2024-01-21,magenta,5
2024-01-21,navy,7
2024-01-21,teal,5
2024-01-21,maroon,6
2024-01-21,lime,6
2024-01-21,gold,4
2024-01-21,silver,8
2024-01-21,beige,3
2024-01-21,turquoise,1
2024-01-21,indigo,6
2024-01-22,red,8
2024-01-22,blue,2
2024-01-22,green,0
2024-01-22,yellow,7
2024-01-22,black,13
2024-01-22,white,10
2024-01-22,purple,0
2024-01-22,orange,9
2024-01-22,pink,10
2024-01-22,gray,7
2024-01-22,brown,4
2024-01-22,cyan,3
2024-01-22,magenta,7
2024-01-22,navy,8
2024-01-22,teal,0
2024-01-22,maroon,5
2024-01-22,lime,9
2024-01-22,gold,9
2024-01-22,silver,0
2024-01-22,beige,3
2024-01-22,turquoise,1
2024-01-22,indigo,9
2024-01-23,red,9
2024-01-23,blue,0
2024-01-23,green,10
2024-01-23,yellow,6
2024-01-23,black,10
2024-01-23,white,2
2024-01-23,purple,8
2024-01-23,orange,5
2024-01-23,pink,7
2024-01-23,gray,9
2024-01-23,brown,3
2024-01-23,cyan,3
2024-01-23,magenta,11
2024-01-23,navy,10
2024-01-23,teal,2
2024-01-23,maroon,7
2024-01-23,lime,8
2024-01-23,gold,13
2024-01-23,silver,7
2024-01-23,beige,8
2024-01-23,turquoise,12
2024-01-23,indigo,7
2024-01-24,red,14
2024-01-24,blue,4
2024-01-24,green,0
2024-01-24,yellow,9
2024-01-24,black,7
2024-01-24,white,1
2024-01-24,purple,9
2024-01-24,orange,2
2024-01-24,pink,3
2024-01-24,gray,7
2024-01-24,brown,10
2024-01-24,cyan,7
2024-01-24,magenta,8
2024-01-24,navy,1
2024-01-24,teal,4
2024-01-24,maroon,5
2024-01-24,lime,9
2024-01-24,gold,6
2024-01-24,silver,2
2024-01-24,beige,9
2024-01-24,turquoise,6
2024-01-24,indigo,2
2024-01-25,red,9
2024-01-25,blue,0
2024-01-25,green,8
2024-01-25,yellow,11
2024-01-25,black,12
2024-01-25,white,5
2024-01-25,purple,2
2024-01-25,orange,3
2024-01-25,pink,8
2024-01-25,gray,8
2024-01-25,brown,8
2024-01-25,cyan,0
2024-01-25,magenta,9
2024-01-25,navy,5
2024-01-25,teal,6
2024-01-25,maroon,8
2024-01-25,lime,9
2024-01-25,gold,13
2024-01-25,silver,6
2024-01-25,beige,3
2024-01-25,turquoise,7
2024-01-25,indigo,7
2024-01-26,red,8
2024-01-26,blue,5
2024-01-26,green,0
2024-01-26,yellow,4
2024-01-26,black,15
2024-01-26,white,8
2024-01-26,purple,2
2024-01-26,orange,3
2024-01-26,pink,6
2024-01-26,gray,9
2024-01-26,brown,7
2024-01-26,cyan,2
2024-01-26,magenta,4
2024-01-26,navy,11
2024-01-26,teal,6
2024-01-26,maroon,11
2024-01-26,lime,10
2024-01-26,gold,13
2024-01-26,silver,6
2024-01-26,beige,0
2024-01-26,turquoise,9
2024-01-26,indigo,8
2024-01-27,red,13
2024-01-27,blue,8
2024-01-27,green,5
2024-01-27,yellow,2
2024-01-27,black,10
2024-01-27,white,11
2024-01-27,purple,1
2024-01-27,orange,5
2024-01-27,pink,0
2024-01-27,gray,9
2024-01-27,brown,7
2024-01-27,cyan,4
2024-01-27,magenta,5
2024-01-27,navy,5
2024-01-27,teal,12
2024-01-27,maroon,8
2024-01-27,lime,5
2024-01-27,gold,6
2024-01-27,silver,1
2024-01-27,beige,0
2024-01-27,turquoise,6
2024-01-27,indigo,9
2024-01-28,red,10
2024-01-28,blue,0
2024-01-28,green,6
2024-01-28,yellow,7
2024-01-28,black,12
2024-01-28,white,5
2024-01-28,purple,8
2024-01-28,orange,2
2024-01-28,pink,5
2024-01-28,gray,6
2024-01-28,brown,10
2024-01-28,cyan,4
2024-01-28,magenta,12
2024-01-28,navy,4
2024-01-28,teal,0
2024-01-28,maroon,9
2024-01-28,lime,5
2024-01-28,gold,8
2024-01-28,silver,9
2024-01-28,beige,8
2024-01-28,turquoise,1
2024-01-28,indigo,12
2024-01-29,red,11
2024-01-29,blue,1
2024-01-29,green,0
2024-01-29,yellow,10
2024-01-29,black,7
2024-01-29,white,10
2024-01-29,purple,6
2024-01-29,orange,4
2024-01-29,pink,9
2024-01-29,gray,0
2024-01-29,brown,12
2024-01-29,cyan,0
2024-01-29,magenta,4
2024-01-29,navy,0
2024-01-29,teal,6
2024-01-29,maroon,9
2024-01-29,lime,1
2024-01-29,gold,8
2024-01-29,silver,7
2024-01-29,beige,4
2024-01-29,turquoise,0
2024-01-29,indigo,2
2024-01-30,red,13
2024-01-30,blue,12
2024-01-30,green,8
2024-01-30,yellow,3
2024-01-30,black,9
2024-01-30,white,10
2024-01-30,purple,8
2024-01-30,orange,12
2024-01-30,pink,7
2024-01-30,gray,7
2024-01-30,brown,7
2024-01-30,cyan,1
2024-01-30,magenta,9
2024-01-30,navy,4
2024-01-30,teal,7
2024-01-30,maroon,7
2024-01-30,lime,0
2024-01-30,gold,12
2024-01-30,silver,1
2024-01-30,beige,4
2024-01-30,turquoise,6
2024-01-30,indigo,4
2024-01-31,red,11
2024-01-31,blue,5
2024-01-31,green,3
2024-01-31,yellow,7
2024-01-31,black,9
2024-01-31,white,3
2024-01-31,purple,3
2024-01-31,orange,10
2024-01-31,pink,7
2024-01-31,gray,0
2024-01-31,brown,0
2024-01-31,cyan,8
2024-01-31,magenta,3
2024-01-31,navy,10
2024-01-31,teal,5
2024-01-31,maroon,11
2024-01-31,lime,3
2024-01-31,gold,7
2024-01-31,silver,10
2024-01-31,beige,7
2024-01-31,turquoise,0
2024-01-31,indigo,4
2024-02-01,red,17
2024-02-01,blue,6
2024-02-01,green,7
2024-02-01,yellow,10
2024-02-01,black,10
2024-02-01,white,3
2024-02-01,purple,4
2024-02-01,orange,11
2024-02-01,pink,2
2024-02-01,gray,4
2024-02-01,brown,2
2024-02-01,cyan,4
2024-02-01,magenta,3
2024-02-01,navy,9
2024-02-01,teal,8
2024-02-01,maroon,3
2024-02-01,lime,8
2024-02-01,gold,16
2024-02-01,silver,8
2024-02-01,beige,6
2024-02-01,turquoise,3
2024-02-01,indigo,8
2024-02-02,red,17
2024-02-02,blue,1
2024-02-02,green,0
2024-02-02,yellow,7
2024-02-02,black,9
2024-02-02,white,8
2024-02-02,purple,5
2024-02-02,orange,7
2024-02-02,pink,9
2024-02-02,gray,1
2024-02-02,brown,2
2024-02-02,cyan,7
2024-02-02,magenta,5
2024-02-02,navy,4
2024-02-02,teal,0
2024-02-02,maroon,10
2024-02-02,lime,0
2024-02-02,gold,12
2024-02-02,silver,7
2024-02-02,beige,2
2024-02-02,turquoise,1
2024-02-02,indigo,9
2024-02-03,red,7
2024-02-03,blue,10
2024-02-03,green,5
2024-02-03,yellow,3
2024-02-03,black,9
2024-02-03,white,9
2024-02-03,purple,8
2024-02-03,orange,11
2024-02-03,pink,9
2024-02-03,gray,1
2024-02-03,brown,5
2024-02-03,cyan,1
2024-02-03,magenta,2
2024-02-03,navy,1
2024-02-03,teal,3
2024-02-03,maroon,5
2024-02-03,lime,9
2024-02-03,gold,14
2024-02-03,silver,1
2024-02-03,beige,0
2024-02-03,turquoise,11
2024-02-03,indigo,1
2024-02-04,red,7
2024-02-04,blue,9
2024-02-04,green,7
2024-02-04,yellow,11
2024-02-04,black,13
2024-02-04,white,6
2024-02-04,purple,9
2024-02-04,orange,12
2024-02-04,pink,6
2024-02-04,gray,9
2024-02-04,brown,10
2024-02-04,cyan,1
2024-02-04,magenta,11
2024-02-04,navy,11
2024-02-04,teal,11
2024-02-04,maroon,8
2024-02-04,lime,7
2024-02-04,gold,11
2024-02-04,silver,8
2024-02-04,beige,6
2024-02-04,turquoise,1
2024-02-04,indigo,10
2024-02-05,red,10
2024-02-05,blue,2
2024-02-05,green,4
2024-02-05,yellow,7
2024-02-05,black,6
2024-02-05,white,11
2024-02-05,purple,5
2024-02-05,orange,9
2024-02-05,pink,7
2024-02-05,gray,4
2024-02-05,brown,7
2024-02-05,cyan,1
2024-02-05,magenta,6
2024-02-05,navy,6
2024-02-05,teal,11
2024-02-05,maroon,8
2024-02-05,lime,1
2024-02-05,gold,15
2024-02-05,silver,4
2024-02-05,beige,3
2024-02-05,turquoise,3
2024-02-05,indigo,1
2024-02-06,red,13
2024-02-06,blue,10
2024-02-06,green,7
2024-02-06,yellow,5
2024-02-06,black,16
2024-02-06,white,4
2024-02-06,purple,11
2024-02-06,orange,10
2024-02-06,pink,6
2024-02-06,gray,3
2024-02-06,brown,5
2024-02-06,cyan,0
2024-02-06,magenta,0
2024-02-06,navy,6
2024-02-06,teal,11
2024-02-06,maroon,5
2024-02-06,lime,3
2024-02-06,gold,9
2024-02-06,silver,7
2024-02-06,beige,3
2024-02-06,turquoise,2
2024-02-06,indigo,6
2024-02-07,red,16
2024-02-07,blue,7
2024-02-07,green,6
2024-02-07,yellow,4
2024-02-07,black,15
2024-02-07,white,9
2024-02-07,purple,2
2024-02-07,orange,9
2024-02-07,pink,7
2024-02-07,gray,2
2024-02-07,brown,6
2024-02-07,cyan,8
2024-02-07,magenta,8
2024-02-07,navy,10
2024-02-07,teal,8
2024-02-07,maroon,2
2024-02-07,lime,8
2024-02-07,gold,10
2024-02-07,silver,1
2024-02-07,beige,0
2024-02-07,turquoise,8
2024-02-07,indigo,8
2024-02-08,red,10
2024-02-08,blue,7
2024-02-08,green,0
2024-02-08,yellow,0
2024-02-08,black,15
2024-02-08,white,3
2024-02-08,purple,6
2024-02-08,orange,5
2024-02-08,pink,6
2024-02-08,gray,4
2024-02-08,brown,6
2024-02-08,cyan,1
2024-02-08,magenta,4
2024-02-08,navy,12
2024-02-08,teal,8
2024-02-08,maroon,5
2024-02-08,lime,4
2024-02-08,gold,7
2024-02-08,silver,12
2024-02-08,beige,4
2024-02-08,turquoise,6
2024-02-08,indigo,3
2024-02-09,red,10
2024-02-09,blue,1
2024-02-09,green,8
2024-02-09,yellow,7
2024-02-09,black,13
2024-02-09,white,10
2024-02-09,purple,8
2024-02-09,orange,4
2024-02-09,pink,9
2024-02-09,gray,2
2024-02-09,brown,3
2024-02-09,cyan,1
2024-02-09,magenta,2
2024-02-09,navy,6
2024-02-09,teal,10
2024-02-09,maroon,4
2024-02-09,lime,11
2024-02-09,gold,7
2024-02-09,silver,8
2024-02-09,beige,8
2024-02-09,turquoise,12
2024-02-09,indigo,5
2024-02-10,red,11
2024-02-10,blue,8
2024-02-10,green,5
2024-02-10,yellow,3
2024-02-10,black,8
2024-02-10,white,3
2024-02-10,purple,8
2024-02-10,orange,0
2024-02-10,pink,0
2024-02-10,gray,10
2024-02-10,brown,8
2024-02-10,cyan,9
2024-02-10,magenta,5
2024-02-10,navy,9
2024-02-10,teal,1
2024-02-10,maroon,10
2024-02-10,lime,6
2024-02-10,gold,15
2024-02-10,silver,9
2024-02-10,beige,2
2024-02-10,turquoise,8
2024-02-10,indigo,7
2024-02-11,red,13
2024-02-11,blue,2
2024-02-11,green,7
2024-02-11,yellow,8
2024-02-11,black,11
2024-02-11,white,0
2024-02-11,purple,10
2024-02-11,orange,4
2024-02-11,pink,9
2024-02-11,gray,5
2024-02-11,brown,3
2024-02-11,cyan,8
2024-02-11,magenta,5
2024-02-11,navy,2
2024-02-11,teal,2
2024-02-11,maroon,7
2024-02-11,lime,6
2024-02-11,gold,9
2024-02-11,silver,8
2024-02-11,beige,4
2024-02-11,turquoise,10
2024-02-11,indigo,2
2024-02-12,red,14
2024-02-12,blue,3
2024-02-12,green,1
2024-02-12,yellow,3
2024-02-12,black,12
2024-02-12,white,4
2024-02-12,purple,8
2024-02-12,orange,4
2024-02-12,pink,7
2024-02-12,gray,5
2024-02-12,brown,3
2024-02-12,cyan,5
2024-02-12,magenta,5
2024-02-12,navy,10
2024-02-12,teal,2
2024-02-12,maroon,6
2024-02-12,lime,8
2024-02-12,gold,8
2024-02-12,silver,2
2024-02-12,beige,0
2024-02-12,turquoise,4
2024-02-12,indigo,7
2024-02-13,red,12
2024-02-13,blue,1
2024-02-13,green,0
2024-02-13,yellow,10
2024-02-13,black,17
2024-02-13,white,3
2024-02-13,purple,11
2024-02-13,orange,6
2024-02-13,pink,0
2024-02-13,gray,9
2024-02-13,brown,5
2024-02-13,cyan,7
2024-02-13,magenta,9
2024-02-13,navy,9
2024-02-13,teal,2
2024-02-13,maroon,12
2024-02-13,lime,0
2024-02-13,gold,7
2024-02-13,silver,4
2024-02-13,beige,9
2024-02-13,turquoise,6
2024-02-13,indigo,12
2024-02-14,red,5
2024-02-14,blue,4
2024-02-14,green,9
2024-02-14,yellow,1
2024-02-14,black,15
2024-02-14,white,5
2024-02-14,purple,4
2024-02-14,orange,6
2024-02-14,pink,3
2024-02-14,gray,6
2024-02-14,brown,6
2024-02-14,cyan,6
2024-02-14,magenta,2
2024-02-14,navy,4
2024-02-14,teal,4
2024-02-14,maroon,11
2024-02-14,lime,7
2024-02-14,gold,8
2024-02-14,silver,0
2024-02-14,beige,4
2024-02-14,turquoise,11
2024-02-14,indigo,1
2024-02-15,red,15
2024-02-15,blue,5
2024-02-15,green,2
2024-02-15,yellow,4
2024-02-15,black,9
2024-02-15,white,1
2024-02-15,purple,6
2024-02-15,orange,10
2024-02-15,pink,5
2024-02-15,gray,9
2024-02-15,brown,3
2024-02-15,cyan,8
2024-02-15,magenta,7
2024-02-15,navy,11
2024-02-15,teal,4
2024-02-15,maroon,5
2024-02-15,lime,0
2024-02-15,gold,10
2024-02-15,silver,4
2024-02-15,beige,1
2024-02-15,turquoise,6
2024-02-15,indigo,2
2024-02-16,red,13
2024-02-16,blue,5
2024-02-16,green,8
2024-02-16,yellow,0
2024-02-16,black,8
2024-02-16,white,7
2024-02-16,purple,3
2024-02-16,orange,4
2024-02-16,pink,10
2024-02-16,gray,7
2024-02-16,brown,3
2024-02-16,cyan,0
2024-02-16,magenta,9
2024-02-16,navy,9
2024-02-16,teal,5
2024-02-16,maroon,1
2024-02-16,lime,7
2024-02-16,gold,9
2024-02-16,silver,3
2024-02-16,beige,5
2024-02-16,turquoise,2
2024-02-16,indigo,8
2024-02-17,red,13
2024-02-17,blue,9
2024-02-17,green,4
2024-02-17,yellow,5
2024-02-17,black,7
2024-02-17,white,8
2024-02-17,purple,7
2024-02-17,orange,10
2024-02-17,pink,1
2024-02-17,gray,6
2024-02-17,brown,0
2024-02-17,cyan,0
2024-02-17,magenta,2
2024-02-17,navy,9
2024-02-17,teal,11
2024-02-17,maroon,0
2024-02-17,lime,5
2024-02-17,gold,15
2024-02-17,silver,1
2024-02-17,beige,0
2024-02-17,turquoise,9
2024-02-17,indigo,9
2024-02-18,red,9
2024-02-18,blue,1
2024-02-18,green,10
2024-02-18,yellow,4
2024-02-18,black,8
2024-02-18,white,2
2024-02-18,purple,1
2024-02-18,orange,6
2024-02-18,pink,3
2024-02-18,gray,9
2024-02-18,brown,4
2024-02-18,cyan,3
2024-02-18,magenta,4
2024-02-18,navy,3
2024-02-18,teal,6
2024-02-18,maroon,9
2024-02-18,lime,11
2024-02-18,gold,13
2024-02-18,silver,10
2024-02-18,beige,0
2024-02-18,turquoise,9
2024-02-18,indigo,9
2024-02-19,red,7
2024-02-19,blue,5
2024-02-19,green,8
2024-02-19,yellow,5
2024-02-19,black,13
2024-02-19,white,5
2024-02-19,purple,7
2024-02-19,orange,7
2024-02-19,pink,10
2024-02-19,gray,0
2024-02-19,brown,2
2024-02-19,cyan,2
2024-02-19,magenta,8
2024-02-19,navy,0
2024-02-19,teal,9
2024-02-19,maroon,3
2024-02-19,lime,6
2024-02-19,gold,6
2024-02-19,silver,4
2024-02-19,beige,8
2024-02-19,turquoise,9
2024-02-19,indigo,2
2024-02-20,red,6
2024-02-20,blue,7
2024-02-20,green,0
2024-02-20,yellow,6
2024-02-20,black,12
2024-02-20,white,5
2024-02-20,purple,7
2024-02-20,orange,0
2024-02-20,pink,2
2024-02-20,gray,4
2024-02-20,brown,9
2024-02-20,cyan,5
2024-02-20,magenta,2
2024-02-20,navy,0
2024-02-20,teal,8
2024-02-20,maroon,9
2024-02-20,lime,6
2024-02-20,gold,5
2024-02-20,silver,6
2024-02-20,beige,0
2024-02-20,turquoise,2
2024-02-20,indigo,2
2024-02-21,red,7
2024-02-21,blue,0
2024-02-21,green,8
2024-02-21,yellow,0
2024-02-21,black,14
2024-02-21,white,11
2024-02-21,purple,0
2024-02-21,orange,8
2024-02-21,pink,4
2024-02-21,gray,11
2024-02-21,brown,3
2024-02-21,cyan,5
2024-02-21,magenta,9
2024-02-21,navy,3
2024-02-21,teal,0
2024-02-21,maroon,3
2024-02-21,lime,1
2024-02-21,gold,14
2024-02-21,silver,3
2024-02-21,beige,1
2024-02-21,turquoise,3
2024-02-21,indigo,0
2024-02-22,red,11
2024-02-22,blue,7
2024-02-22,green,5
2024-02-22,yellow,1
2024-02-22,black,15
2024-02-22,white,5
2024-02-22,purple,9
2024-02-22,orange,9
